redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    radio_afterglow    opt_afterglow    xray_afterglow    telt_vr_afterglow 
1.257    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.114    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.548    1    0    1198.07    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
4.450    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.756    1    0    4153.13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.385    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.357    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.793    1    0    761.14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.819    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.950    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.818    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.362    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.435    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.494    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.545    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.263    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.180    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.406    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.162    1    0    4400.50    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.210    1    0    207.13    0    0    0    0    0    0    0    0    0    0.03125    0    0    0    0    0 
1.771    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.361    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.448    1    0    588.65    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.940    1    0    2077.27    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.396    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.734    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.589    1    0    3737.07    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.903    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.323    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
